"id","type","group","sensor","kind","filename_glob","expected_count","original_location_hint","availability","produced_by","required_for","notes","resolved_path"
"drone_pix4d_refl","input","drone_raw","drone","raster","*_MS_transparent_reflectance_*.tif","35","Pix4d/{SITE}_MS/4_index/reflectance/","unknown_lost","Pix4DMapper v4.8.0 (external to this codebase)","reflectance stacks; all drone products","5 bands per site x 7 sites. Band token is blue/green/red/'red edge'/NIR. NOTE the space in 'red edge'. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_pix4d_ndvi","input","drone_raw","drone","raster","*_MS_index_ndvi.tif","7","Pix4d/{SITE}_MS/4_index/indices/ndvi/","unknown_lost","Pix4DMapper v4.8.0 (external to this codebase)","Fig 5 comparison scripts","Pix4D native NDVI. A SECOND drone NDVI provenance exists (Drone_Data_VI). Confirm which the paper used. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_pix4d_dtm","input","drone_raw","drone","raster","*_MS_RGB_dtm.tif","7","Pix4d/{SITE}_MS_RGB/3_dsm_ortho/extras/dtm/","unknown_lost","Pix4DMapper v4.8.0 (external to this codebase)","Terrain_Analysis.R","Terrain products are not used by any classification. Likely out of scope. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_pix4d_dsm","input","drone_raw","drone","raster","*_MS_RGB_dsm.tif","7","Pix4d/{SITE}_MS_RGB/3_dsm_ortho/","unknown_lost","Pix4DMapper v4.8.0 (external to this codebase)","CHM derivation","Needed with the DTM to rebuild the CHM if drone_chm is not found. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_chm","derived","drone_derived","drone","raster","*_CHM.tif","7","ReflStacks/","mirrored","NO PRODUCER FOUND. Conceptually DSM minus DTM but no script does it.","Drone+CHM predictor stacks","NO SCRIPT PRODUCES THIS. Read from the output dir. Highest-priority unknown for the drone arm. SERVER SCAN 2026-08-16: resolves to the same 7 files as drone_refl_stack_chm. NO standalone CHM raster exists - the CHM is a band inside *_Refl_StackCrop_CHM.tif. drone_pix4d_dsm and drone_pix4d_dtm are both absent, so DSM-minus-DTM cannot be run. Extract the band from the stack instead.","data-in/drone/{site}/refl_stack_chm.tif"
"drone_refl_stack","derived","drone_derived","drone","raster","*_Refl_StackCrop.tif","7","ReflStacks/","mirrored","Image_Processing/makeReflStacks_base_terra.R","5-band drone stack","On Zenodo 18506271. Also rebuildable from drone_pix4d_refl.","data-in/drone/{site}/refl_stack.tif"
"drone_refl_stack_chm","derived","drone_derived","drone","raster","*_Refl_StackCrop_CHM.tif","7","ReflStacks/","mirrored","Image_Processing/makeReflStacks_+CHM_terra.R","build_cube; all drone models","On Zenodo 18506271. 6 bands: blue green red red_edge nir dsm.","data-in/drone/{site}/refl_stack_chm.tif"
"drone_vi","derived","drone_derived","drone","raster","*_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif","35","Drone_Data_VI/","mirrored","Image_Processing/Calculate_Drone_Vegetation_Indices.R","build_cube; ALLVI stacks","On Zenodo 18506271 as 'Drone Data VI.zip'. 5 VIs x 7 sites.","data-in/drone/{site}/{ndvi,savi,msavi,msavi2,mtvi}.tif"
"drone_aoi_clip","input","vector","drone","vector","*_clip.shp","7","Final_Drone_Survey_Data/{SITE}/ or /Clips/","mirrored","Hand-digitised in GIS","build_cube mask; all grids","Small files. Critical and not archived.","data-in/drone/{site}/aoi.shp"
"drone_field_points","input","ground","drone","vector","*_Field_data_points_All_b30.shp","7","Final_Drone_Survey_Data/{SITE}/","mirrored","Field survey Sept-Oct 2022 via QField v2.6.2","all drone training","Analysis/input_data/. 1056 records total vs 1024 reported in Table S4. SERVER SCAN 2026-08-16: geometry is POLYGON, not point - the _b30 suffix is a 30 cm buffer. build_ml_df relies on this, extracting with exact_extract(fun=""mean"") before st_centroid(). Any port that assumes point geometry will silently change the extraction semantics. Bokspits_1 has 136 features, EPSG:32734.","data-in/drone/{site}/field_points.shp"
"drone_field_points_train","input","ground","drone","vector","*_Field_data_points_train_b30.shp","7","Final_Drone_Survey_Data/{SITE}/","unknown_lost","Field survey Sept-Oct 2022 via QField v2.6.2","Planet_NDVI.R","Referenced only in commented-out code. May explain the 1056 vs 1024 discrepancy. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_height_points","input","ground","drone","vector","*_Prosopis_height_points_20b.shp","2","Final_Drone_Survey_Data/{SITE}/","unknown_lost","Field survey Sept-Oct 2022 via QField v2.6.2","Table S9 plant-scale validation","Bokspits_1 n=56 and Struizendam_1 n=128 = 184. Matches Table S9. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_height_points_neltuma","input","ground","drone","vector","*_Neltuma_height_points_20b.shp","2","Final_Drone_Survey_Data/{SITE}/","unknown_lost","Field survey Sept-Oct 2022 via QField v2.6.2","Neltuma height points_extraction_accuracy.R","Renamed variant referenced by script but absent. Probably identical to drone_height_points.",""
"drone_rgb_ortho","input","drone_derived","drone","raster","*_MS_RGB_transparent_mosaic_group1.tif","7","Pix4d/{SITE}_MS_RGB/3_dsm_ortho/","unknown_lost","Pix4DMapper v4.8.0 (external to this codebase)","Fig 3 photointerpretation","Large. Only needed for figure assembly and visual verification. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"drone_classification_mlr3","derived","classification","drone","raster","*_Predict_Map*.tif","7","MLR3_classifications/","zenodo","Neltuma_Mlr3_Pipeline/R/predict_terra.R","Figs 5 7 S1-S7; all cross-scale extraction","On Zenodo as 'Drone Data Final Classifications.zip'. WARNING original filenames carry browser-download suffixes ' (1)' and ' (2)' which are load-bearing in the scripts.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/{site}/{site}_Predict_Map.tif"
"drone_classification_svm","derived","classification","drone","raster","svm_pixel_level_*_stack_5_CHM_ALLVI.tif","7","Glenn-Prosopis-ML/data/","unknown_lost","An earlier SVM workflow. Exact producer not identified.","Planet and WV2 grid extraction","An EARLIER classification than drone_classification_mlr3. Determine which the paper used. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"camel_thorn_points","input","ground","drone","vector","*_CT_points.shp","6","Camel_Thorn/","unknown_lost","Field survey","section 2.6 co-occurrence; the 63% claim","Struizendam_3 absent. Attribute 'Prosopis' is 0/1. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"wv2_raw_order1","input","satellite_raw","wv2","raster","21OCT19084820-M2AS_R?C?-050132961020_01_P001.TIF","15","Satellite_Data/WV2/050132961020_01/050132961020_01_P001_MUL/","mirrored","ESA Third Party Missions delivery","WV2 mosaic","1.6 m. Acquired 2021-10-19 08:48:20. ESA Third Party Mission - restricted licence. VERIFIED 2026-08-16: 15 MUL tiles R1-R5 x C1-C3, 1.6 m, 4 bands UInt16, EPSG:32734. Matches expected count exactly.","data-in/wv2/raw/050132961020_01/050132961020_01_P001_MUL/"
